# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
plotter1,60,2022-01-02 00:58:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 00:59:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 01:00:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 01:01:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 01:02:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 01:03:15,130683128,454400,0.35,15936,3.51
plotter1,60,2022-01-02 01:04:15,130683128,454400,0.35,15936,3.51
# hostname,interval,timestamp,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked
plotter1,60,2022-01-02 00:24:15,0,907,3.22,4.09,4.57,0
plotter1,60,2022-01-02 00:25:15,4,923,6.69,4.90,4.82,1
plotter1,60,2022-01-02 00:26:15,3,915,5.32,4.97,4.86,0
plotter1,60,2022-01-02 00:27:15,3,915,5.79,5.22,4.95,0
plotter1,60,2022-01-02 00:28:15,9,913,5.50,5.23,4.97,0
plotter1,60,2022-01-02 00:29:15,1,913,4.77,5.11,4.95,0
plotter1,60,2022-01-02 00:30:15,8,919,6.15,5.31,5.02,9
plotter1,60,2022-01-02 00:31:15,2,913,5.72,5.37,5.06,0
plotter1,60,2022-01-02 00:32:15,1,913,5.70,5.35,5.07,0
plotter1,60,2022-01-02 00:33:15,1,913,5.12,5.36,5.09,0
plotter1,60,2022-01-02 00:34:15,1,915,5.24,5.33,5.10,0
plotter1,60,2022-01-02 00:35:15,1,918,6.12,5.56,5.19,9
plotter1,60,2022-01-02 00:36:15,1,913,5.99,5.66,5.25,8
plotter1,60,2022-01-02 00:37:15,1,911,4.75,5.47,5.21,0
plotter1,60,2022-01-02 00:38:15,1,912,5.60,5.47,5.22,0
plotter1,60,2022-01-02 00:39:15,0,916,5.36,5.38,5.20,0
plotter1,60,2022-01-02 00:40:15,2,921,4.08,5.03,5.09,1
plotter1,60,2022-01-02 00:41:15,2,916,6.58,5.53,5.26,0
plotter1,60,2022-01-02 00:42:15,1,914,4.39,5.06,5.11,0
plotter1,60,2022-01-02 00:43:15,1,915,5.15,5.17,5.15,0
plotter1,60,2022-01-02 00:44:15,1,916,4.64,5.00,5.09,0
plotter1,60,2022-01-02 00:45:15,1,921,5.58,5.12,5.12,1
plotter1,60,2022-01-02 00:46:15,1,916,4.13,4.84,5.03,0
plotter1,60,2022-01-02 00:47:15,1,916,3.73,4.58,4.92,0
plotter1,60,2022-01-02 00:48:15,1,915,3.55,4.40,4.84,3
plotter1,60,2022-01-02 00:49:15,2,915,3.47,4.22,4.75,0
plotter1,60,2022-01-02 00:50:15,1,922,4.79,4.42,4.78,9
plotter1,60,2022-01-02 00:51:15,1,915,4.57,4.51,4.79,0
plotter1,60,2022-01-02 00:52:15,2,919,5.63,4.89,4.91,0
plotter1,60,2022-01-02 00:53:15,2,915,3.99,4.57,4.80,0
plotter1,60,2022-01-02 00:54:15,1,914,3.09,4.23,4.67,0
plotter1,60,2022-01-02 00:55:15,4,922,4.89,4.42,4.70,8
plotter1,60,2022-01-02 00:56:15,2,914,4.58,4.43,4.69,0
plotter1,60,2022-01-02 00:57:15,1,915,4.53,4.36,4.64,0
plotter1,60,2022-01-02 00:58:15,1,915,5.18,4.58,4.70,0
plotter1,60,2022-01-02 00:59:15,1,915,5.17,4.70,4.73,8
plotter1,60,2022-01-02 01:00:15,1,922,6.71,5.14,4.88,9
plotter1,60,2022-01-02 01:01:15,1,918,5.53,5.20,4.92,0
plotter1,60,2022-01-02 01:02:15,0,916,6.68,5.58,5.07,6
plotter1,60,2022-01-02 01:03:15,1,916,5.26,5.31,5.00,0
plotter1,60,2022-01-02 01:04:15,2,904,5.71,5.41,5.05,0
# hostname,interval,timestamp,DEV,tps,rkB/s,wkB/s,dkB/s,areq-sz,aqu-sz,await,%util
plotter1,60,2022-01-02 00:24:15,nvme1n1,0.52,0.00,11.60,7.80,37.55,0.01,17.29,0.56
plotter1,60,2022-01-02 00:24:15,nvme0n1,1.72,0.00,21.87,8.47,17.67,0.02,10.64,0.56
plotter1,60,2022-01-02 00:24:15,nvme2n1,0.60,0.00,14.67,10.93,42.67,0.01,13.67,0.49
plotter1,60,2022-01-02 00:24:15,sda,13.32,653.00,0.27,0.00,49.06,0.08,6.01,3.20
plotter1,60,2022-01-02 00:24:15,sdb,10.88,511.87,0.00,0.00,47.03,0.08,6.89,2.62
plotter1,60,2022-01-02 00:24:15,sdc,5.57,285.93,0.00,0.00,51.37,0.04,6.49,1.77
plotter1,60,2022-01-02 00:24:15,sdd,10.02,478.47,0.00,0.00,47.77,0.05,4.56,2.19
plotter1,60,2022-01-02 00:24:15,sde,39.20,1320.07,88.40,0.00,35.93,0.02,0.63,1.52
plotter1,60,2022-01-02 00:24:15,sde1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:24:15,sde2,39.20,1320.07,88.40,0.00,35.93,0.02,0.63,1.52
plotter1,60,2022-01-02 00:24:15,sdf,13.68,692.40,0.00,0.00,50.60,0.06,4.22,3.10
plotter1,60,2022-01-02 00:24:15,sdg,11.53,549.87,0.27,0.00,47.70,0.05,4.66,2.36
plotter1,60,2022-01-02 00:24:15,sdh,11.23,664.33,0.80,0.00,59.21,0.06,5.14,3.10
plotter1,60,2022-01-02 00:24:15,sdi,6.53,371.13,0.00,0.00,56.81,0.03,4.29,1.70
plotter1,60,2022-01-02 00:24:15,dm-0,3.83,0.00,48.80,27.20,19.83,0.05,11.85,0.67
plotter1,60,2022-01-02 00:24:15,sdj,9.38,523.67,0.27,0.00,55.84,0.05,5.07,2.74
plotter1,60,2022-01-02 00:24:15,sdk,4.18,211.00,0.00,0.00,50.44,0.04,9.29,1.40
plotter1,60,2022-01-02 00:24:15,sdl,3.17,202.73,0.00,0.00,64.02,0.03,8.28,1.26
plotter1,60,2022-01-02 00:24:15,sdm,2.05,99.80,0.00,0.00,48.68,0.01,7.08,0.78
plotter1,60,2022-01-02 00:24:15,sdo,0.63,31.87,0.00,0.00,50.32,0.00,7.47,0.29
plotter1,60,2022-01-02 00:24:15,sdp,6.72,376.73,0.00,0.00,56.09,0.06,9.07,2.36
plotter1,60,2022-01-02 00:24:15,sdq,0.92,42.27,0.00,0.00,46.11,0.01,8.76,0.43
plotter1,60,2022-01-02 00:24:15,sdr,6.45,263.99,0.00,0.00,40.93,0.05,8.03,2.44
plotter1,60,2022-01-02 00:24:15,sds,2.45,106.73,0.00,0.00,43.56,0.02,7.58,1.37
plotter1,60,2022-01-02 00:24:15,sdt,4.50,241.67,0.00,0.00,53.70,0.03,7.66,1.97
plotter1,60,2022-01-02 00:24:15,sdu,5.83,325.87,0.00,0.00,55.86,0.05,9.07,1.90
plotter1,60,2022-01-02 00:24:15,sdv,1.67,77.13,0.00,0.00,46.28,0.01,8.24,0.77
plotter1,60,2022-01-02 00:24:15,sdx,1.22,69.27,0.00,0.00,56.93,0.01,8.82,0.60
plotter1,60,2022-01-02 00:24:15,sdy,1.85,91.00,0.00,0.00,49.19,0.01,7.74,0.88
plotter1,60,2022-01-02 00:24:15,sdz,1.78,91.07,0.00,0.00,51.07,0.02,8.92,0.85
plotter1,60,2022-01-02 00:24:15,sdaa,5.93,302.00,0.00,0.00,50.90,0.08,13.53,3.77
plotter1,60,2022-01-02 00:24:15,sdab,8.60,469.12,0.00,0.00,54.55,0.07,8.45,4.00
plotter1,60,2022-01-02 00:24:15,sdn,0.15,4.07,0.00,0.00,27.11,0.00,8.00,0.09
plotter1,60,2022-01-02 00:24:15,sdac,4.92,272.46,0.00,0.00,55.42,0.05,10.15,2.41
plotter1,60,2022-01-02 00:24:15,sdad,2.98,149.32,0.00,0.00,50.05,0.03,8.93,1.22
plotter1,60,2022-01-02 00:24:15,sdae,2.10,93.53,0.27,0.00,44.66,0.04,13.29,2.13
plotter1,60,2022-01-02 00:24:15,sdaf,7.95,382.13,0.00,0.00,48.07,0.07,8.96,3.62
plotter1,60,2022-01-02 00:24:15,sdag,3.87,177.73,0.27,0.00,46.03,0.03,8.22,1.91
plotter1,60,2022-01-02 00:24:15,sdah,2.80,164.47,0.00,0.00,58.74,0.02,7.99,1.23
plotter1,60,2022-01-02 00:24:15,sdai,2.88,193.07,0.00,0.00,66.96,0.03,11.87,1.90
plotter1,60,2022-01-02 00:24:15,sdaj,5.07,286.60,0.00,0.00,56.57,0.03,5.90,1.78
plotter1,60,2022-01-02 00:24:15,sdal,1.47,63.40,0.00,0.00,43.23,0.01,8.10,0.60
plotter1,60,2022-01-02 00:24:15,sdam,2.38,129.80,0.00,0.00,54.46,0.01,6.15,0.74
plotter1,60,2022-01-02 00:24:15,sdan,0.92,55.60,0.00,0.00,60.65,0.01,8.91,0.45
plotter1,60,2022-01-02 00:24:15,sdao,2.40,124.27,0.00,0.00,51.78,0.02,7.31,0.83
plotter1,60,2022-01-02 00:24:15,sdap,1.47,70.93,0.00,0.00,48.36,0.01,9.95,0.75
plotter1,60,2022-01-02 00:24:15,sdaq,4.38,277.07,0.00,0.00,63.21,0.06,12.55,2.48
plotter1,60,2022-01-02 00:24:15,sdar,0.67,39.07,0.00,0.00,58.60,0.00,6.85,0.27
plotter1,60,2022-01-02 00:24:15,sdw,3.43,175.60,0.00,0.00,51.15,0.03,8.63,1.78
plotter1,60,2022-01-02 00:24:15,sdak,3.23,162.26,0.00,0.00,50.18,0.04,13.10,1.73
plotter1,60,2022-01-02 00:24:15,sdas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:25:15,nvme1n1,0.10,0.00,1.07,0.33,14.00,0.00,21.00,0.22
plotter1,60,2022-01-02 00:25:15,nvme0n1,0.15,0.00,1.33,1.07,16.00,0.00,14.22,0.22
plotter1,60,2022-01-02 00:25:15,nvme2n1,0.10,0.00,0.20,0.80,10.00,0.00,21.17,0.22
plotter1,60,2022-01-02 00:25:15,sda,5.83,284.00,0.00,0.00,48.69,0.04,7.28,1.59
plotter1,60,2022-01-02 00:25:15,sdb,11.20,499.80,0.27,0.00,44.65,0.11,9.61,3.21
plotter1,60,2022-01-02 00:25:15,sdc,9.57,453.20,0.00,0.00,47.37,0.10,10.40,3.18
plotter1,60,2022-01-02 00:25:15,sdd,14.42,665.40,0.40,0.00,46.18,0.11,7.47,3.69
plotter1,60,2022-01-02 00:25:15,sde,10.00,61.60,143.07,0.00,20.47,0.01,1.28,0.43
plotter1,60,2022-01-02 00:25:15,sde1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:25:15,sde2,9.67,61.47,143.07,0.00,21.16,0.01,1.32,0.41
plotter1,60,2022-01-02 00:25:15,sdf,11.52,553.73,0.00,0.00,48.08,0.08,6.57,2.66
plotter1,60,2022-01-02 00:25:15,sdg,10.18,499.60,0.00,0.00,49.06,0.08,8.12,2.31
plotter1,60,2022-01-02 00:25:15,sdh,8.18,462.27,0.40,0.00,56.54,0.04,5.07,2.27
plotter1,60,2022-01-02 00:25:15,sdi,7.77,414.38,0.27,0.00,53.39,0.03,3.95,1.77
plotter1,60,2022-01-02 00:25:15,dm-0,0.18,0.00,2.93,2.20,28.00,0.00,19.27,0.22
plotter1,60,2022-01-02 00:25:15,sdj,6.48,381.25,0.27,0.00,58.85,0.04,5.41,1.89
plotter1,60,2022-01-02 00:25:15,sdk,7.18,316.38,0.27,0.00,44.08,0.04,5.02,2.03
plotter1,60,2022-01-02 00:25:15,sdl,7.15,362.25,0.00,0.00,50.66,0.04,5.68,2.10
plotter1,60,2022-01-02 00:25:15,sdm,6.40,316.52,0.00,0.00,49.46,0.06,8.92,3.53
plotter1,60,2022-01-02 00:25:15,sdo,3.20,141.65,0.00,0.00,44.27,0.03,9.03,1.85
