# hostname;interval;timestamp;DEV;tps;rkB/s;wkB/s;dkB/s;areq-sz;aqu-sz;await;%util
plotter1;60;2021-12-31 09:27:42;sdaa;1.72;97.93;0.00;0.00;57.05;0.02;9.67;0.85
plotter1;60;2021-12-31 09:27:42;sdab;2.45;99.26;0.00;0.00;40.51;0.02;8.35;1.12
plotter1;60;2021-12-31 09:27:42;sdn;0.62;30.40;0.00;0.00;49.30;0.00;7.97;0.29
plotter1;60;2021-12-31 09:27:42;sdac;1.02;60.53;0.00;0.00;59.54;0.01;5.21;0.33
plotter1;60;2021-12-31 09:27:42;sdad;6.73;404.80;0.00;0.00;60.12;0.04;6.66;2.52
plotter1;60;2021-12-31 09:27:42;sdae;2.35;123.47;0.00;0.00;52.54;0.02;7.43;1.03
plotter1;60;2021-12-31 09:27:42;sdaf;2.65;134.20;0.00;0.00;50.64;0.03;12.02;1.42
plotter1;60;2021-12-31 09:27:42;sdag;1.38;66.20;0.00;0.00;47.86;0.01;6.69;0.61
plotter1;60;2021-12-31 09:27:42;sdah;1.27;71.60;0.00;0.00;56.53;0.01;6.41;0.41
plotter1;60;2021-12-31 09:27:42;sdai;4.87;282.27;0.00;0.00;58.00;0.06;12.31;2.59
plotter1;60;2021-12-31 09:27:42;sdaj;3.88;212.27;0.00;0.00;54.66;0.03;8.53;1.72
plotter1;60;2021-12-31 09:27:42;sdal;3.72;172.07;0.00;0.00;46.30;0.04;10.58;1.74
plotter1;60;2021-12-31 09:27:42;sdam;0.88;62.13;0.00;0.00;70.34;0.00;5.00;0.31
plotter1;60;2021-12-31 09:27:42;sdan;1.80;97.87;0.00;0.00;54.37;0.01;7.32;0.82
plotter1;60;2021-12-31 09:27:42;sdao;3.98;200.99;0.00;0.00;50.46;0.03;7.50;1.52
plotter1;60;2021-12-31 09:27:42;sdap;2.90;145.60;0.00;0.00;50.21;0.03;8.80;1.50
plotter1;60;2021-12-31 09:27:42;sdaq;0.65;33.33;0.00;0.00;51.28;0.01;12.38;0.38
plotter1;60;2021-12-31 09:27:42;sdar;3.40;199.67;0.00;0.00;58.73;0.03;9.25;1.65
plotter1;60;2021-12-31 09:27:42;sdw;1.23;54.93;0.00;0.00;44.54;0.01;9.49;0.56
plotter1;60;2021-12-31 09:27:42;sdak;2.78;149.27;0.00;0.00;53.63;0.02;8.53;1.31
