2022-01-10T20:58:45.707 daemon chia.daemon.server         : INFO     Starting Daemon Server
2022-01-10T20:58:45.715 daemon chia.daemon.server         : INFO     Waiting Daemon WebSocketServer closure
2022-01-10T20:58:52.223 full_node chia.full_node.full_node: INFO     Initializing blockchain from disk
2022-01-10T20:58:52.230 full_node chia.consensus.blockchain: INFO     Started 4 processes for block validation
2022-01-10T21:01:11.819 full_node full_node_server        : INFO     Cannot connect to host 240e:398:c4:b040:6851:ba28:8b28:6296:8444 ssl:<ssl.SSLContext object at 0xffff8e8a5040> [Network is unreachable]
2022-01-10T21:01:14.506 full_node full_node_server        : INFO     Connected with full_node {'host': '94.181.174.5', 'port': 8444}
2022-01-10T21:01:14.512 full_node full_node_server        : INFO     Connection closed: 94.181.174.5, node id: c99157e183865cd0b6d6ab8e883b021d6337687a6cbd499f17cb30b500edda97
2022-01-10T21:01:14.514 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '94.181.174.5', 'port': 8444}
2022-01-10T21:01:21.998 full_node full_node_server        : INFO     Connected with full_node {'host': '106.52.9.169', 'port': 8444}
2022-01-10T21:01:22.004 full_node full_node_server        : INFO     Connection closed: 106.52.9.169, node id: c6443ed476acef5b54a9bb0399ed1b24d39b5713c5cbd2384c7df1186893c855
2022-01-10T21:01:22.006 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '106.52.9.169', 'port': 8444}
2022-01-10T21:01:22.360 full_node full_node_server        : INFO     Connected with full_node {'host': '89.110.53.73', 'port': 8444}
2022-01-10T21:01:22.365 full_node full_node_server        : INFO     Connection closed: 89.110.53.73, node id: a9a09678cb84fb5d00595511287f8457844a261d7a5ec7519bc0d5abb2409f7d
2022-01-10T21:01:22.367 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '89.110.53.73', 'port': 8444}
2022-01-10T21:01:23.455 full_node full_node_server        : INFO     Connected with full_node {'host': '89.36.89.91', 'port': 8444}
2022-01-10T21:01:23.459 full_node full_node_server        : INFO     Connection closed: 89.36.89.91, node id: da6c7967f8c57fa90ff9664a22596449bbf065d057e04e98f67df92f53e2e224
2022-01-10T21:01:23.461 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '89.36.89.91', 'port': 8444}
2022-01-10T21:01:28.014 full_node full_node_server        : INFO     Connected with full_node {'host': '89.133.114.157', 'port': 8444}
2022-01-10T21:01:28.032 full_node full_node_server        : INFO     Connection closed: 89.133.114.157, node id: 38cdbebb92b12f73414b092f239252f91197f72ebac49e7c38b5330f753f82e6
2022-01-10T21:01:28.033 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '89.133.114.157', 'port': 8444}
2022-01-10T21:01:30.301 full_node full_node_server        : INFO     Connected with full_node {'host': '195.12.56.96', 'port': 8444}
2022-01-10T21:01:30.307 full_node full_node_server        : INFO     Connection closed: 195.12.56.96, node id: 93f6b0d33bbabdc7fd0ff38f6925ebf684b9423ecf4134cd9839ec2d62a7c014
2022-01-10T21:01:30.309 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '195.12.56.96', 'port': 8444}
2022-01-10T21:01:33.553 full_node full_node_server        : INFO     Connected with full_node {'host': '70.70.57.98', 'port': 8444}
2022-01-10T21:01:33.560 full_node full_node_server        : INFO     Connection closed: 70.70.57.98, node id: ca9df43dc84599bff123252c7aebe9407502bd07ded84e2d503b58753c068f21
2022-01-10T21:01:33.561 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '70.70.57.98', 'port': 8444}
2022-01-10T21:01:37.131 full_node full_node_server        : INFO     Cannot connect to host 60.166.84.156:8444 ssl:<ssl.SSLContext object at 0xffff87aebf40> [Connect call failed ('60.166.84.156', 8444)]
2022-01-10T21:01:42.012 full_node full_node_server        : INFO     Connected with full_node {'host': '174.112.42.145', 'port': 8444}
2022-01-10T21:01:42.019 full_node full_node_server        : INFO     Connection closed: 174.112.42.145, node id: 3801ca185f8792803bc2adb0b86262b93e8a1768eb769c4d0bac11e798971806
2022-01-10T21:01:42.020 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '174.112.42.145', 'port': 8444}
2022-01-10T21:01:43.813 full_node full_node_server        : INFO     Connected with full_node {'host': '46.10.211.143', 'port': 8444}
2022-01-10T21:01:43.818 full_node full_node_server        : INFO     Connection closed: 46.10.211.143, node id: f54402005a7e7b4afbd14f7177fa7d1e39e8a35bd6ed08d54dd6c209e65a379a
2022-01-10T21:01:43.820 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '46.10.211.143', 'port': 8444}
2022-01-10T21:01:48.476 full_node full_node_server        : INFO     Connected with full_node {'host': '65.21.128.120', 'port': 8444}
2022-01-10T21:01:48.482 full_node full_node_server        : INFO     Connection closed: 65.21.128.120, node id: f8f035ee426e0eaee2278225b55101dc4d96e3e8192aa7b12ed065c5d6a41275
2022-01-10T21:01:48.484 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '65.21.128.120', 'port': 8444}
2022-01-10T21:01:50.698 full_node full_node_server        : INFO     Connected with full_node {'host': '37.57.200.40', 'port': 8444}
2022-01-10T21:01:50.705 full_node full_node_server        : INFO     Connection closed: 37.57.200.40, node id: 251b73642279ec65f833ed43681f09ab1cba98dabbdbb541b4b67afabb79fbd4
2022-01-10T21:01:50.706 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '37.57.200.40', 'port': 8444}
2022-01-10T21:01:53.240 full_node full_node_server        : INFO     Connected with full_node {'host': '83.146.138.210', 'port': 8444}
2022-01-10T21:01:53.244 full_node full_node_server        : INFO     Connection closed: 83.146.138.210, node id: c50aca0cecfd821386591b5e848e2dacfcc2a24ecf864187bbdd3bd15dbe8ac1
2022-01-10T21:01:53.246 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '83.146.138.210', 'port': 8444}
2022-01-10T21:01:58.592 full_node full_node_server        : INFO     Connected with full_node {'host': '175.156.120.149', 'port': 8444}
2022-01-10T21:01:58.599 full_node full_node_server        : INFO     Connection closed: 175.156.120.149, node id: 94a749a1e706885764c79c5b14c24c4ad88d61efaed29e68dfe1247f517763be
2022-01-10T21:01:58.600 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '175.156.120.149', 'port': 8444}
2022-01-10T21:02:03.221 full_node full_node_server        : INFO     Connected with full_node {'host': '199.126.80.53', 'port': 8444}
2022-01-10T21:02:07.589 full_node full_node_server        : INFO     Connected with full_node {'host': '61.245.132.52', 'port': 8444}
2022-01-10T21:02:07.595 full_node full_node_server        : INFO     Connection closed: 61.245.132.52, node id: f705ccb1f3a7af5a14899bf2af2e3a25e8dab1d051563659fc1b0d7faedff84b
2022-01-10T21:02:07.597 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '61.245.132.52', 'port': 8444}
2022-01-10T21:02:18.946 full_node full_node_server        : INFO     Connected with full_node {'host': '82.5.88.125', 'port': 8444}
2022-01-10T21:02:18.949 full_node full_node_server        : INFO     Connected with full_node {'host': '68.52.139.214', 'port': 8444}
2022-01-10T21:02:18.958 full_node full_node_server        : INFO     Connection closed: 82.5.88.125, node id: 4535bd485a34ccb7c9a2c6c32ec3d4f41df9475907d044dd26457c0f3487a9b8
2022-01-10T21:02:18.960 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '82.5.88.125', 'port': 8444}
2022-01-10T21:02:18.961 full_node full_node_server        : INFO     Connection closed: 68.52.139.214, node id: 0ea8243054ea3baff85d69bc481abb75c7571bd37286e5bd8551c2841da3506c
2022-01-10T21:02:18.963 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '68.52.139.214', 'port': 8444}
2022-01-10T21:02:24.598 full_node full_node_server        : INFO     Cannot connect to host 183.155.59.121:8444 ssl:<ssl.SSLContext object at 0xffff77b8ff40> [Connect call failed ('183.155.59.121', 8444)]
2022-01-10T21:02:30.661 full_node full_node_server        : INFO     Connected with full_node {'host': '94.75.70.2', 'port': 8444}
2022-01-10T21:02:30.666 full_node full_node_server        : INFO     Connection closed: 94.75.70.2, node id: 29145b2e978379c41162f7bee851bc9ea2ea2448a90d827b8f417970bf661c14
2022-01-10T21:02:30.668 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '94.75.70.2', 'port': 8444}
2022-01-10T21:02:43.384 full_node full_node_server        : INFO     Connected with full_node {'host': '191.88.16.11', 'port': 8444}
2022-01-10T21:02:47.342 full_node full_node_server        : INFO     Connected with full_node {'host': '81.29.184.208', 'port': 8444}
2022-01-10T21:02:47.348 full_node full_node_server        : INFO     Connection closed: 81.29.184.208, node id: c39173cbad334285220e0f5468a054d3011caf17c658202a1452e3fa7b463179
2022-01-10T21:02:47.349 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '81.29.184.208', 'port': 8444}
2022-01-10T21:02:49.468 full_node chia.full_node.full_node: INFO     Re-checked peers: total of 3 peers with peak 1404031
2022-01-10T21:02:54.543 full_node chia.full_node.full_node: INFO     Start syncing from fork point at 1302174 up to 1404031
2022-01-10T21:03:04.790 full_node full_node_server        : INFO     Connected with full_node {'host': '24.205.66.121', 'port': 8444}
2022-01-10T21:03:04.926 full_node full_node_server        : INFO     Connection closed: 24.205.66.121, node id: 96133e946e7cc25e9790443bd85fb44a5bfa9b45521de2d870db207d4e491b08
2022-01-10T21:03:04.927 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '24.205.66.121', 'port': 8444}
2022-01-10T21:03:13.616 full_node full_node_server        : INFO     Connected with full_node {'host': '219.83.188.2', 'port': 8444}
2022-01-10T21:03:13.623 full_node full_node_server        : INFO     Connection closed: 219.83.188.2, node id: e1b351fbfd1b8c6dfc0d0720a2ea16cd911bddd53a36f9f71f61635a342a0d1b
2022-01-10T21:03:13.625 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '219.83.188.2', 'port': 8444}
2022-01-10T21:03:16.334 full_node full_node_server        : INFO     Connected with full_node {'host': '66.94.99.65', 'port': 8444}
2022-01-10T21:03:16.341 full_node full_node_server        : INFO     Connection closed: 66.94.99.65, node id: 0194968d8ff02dd3dc5def9145fe9f10faee687830475e021f71357d49ed0b89
2022-01-10T21:03:16.342 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '66.94.99.65', 'port': 8444}
2022-01-10T21:03:19.750 full_node full_node_server        : INFO     Cannot connect to host 222.86.69.20:8444 ssl:<ssl.SSLContext object at 0xffff746c9dc0> [Connect call failed ('222.86.69.20', 8444)]
2022-01-10T21:03:26.875 full_node chia.full_node.full_node: INFO     AUTOTEST5 Added blocks 1303062 to 1303094
2022-01-10T21:03:36.030 full_node full_node_server        : INFO     Connected with full_node {'host': '121.46.250.228', 'port': 8444}
2022-01-10T21:03:36.036 full_node full_node_server        : INFO     Connection closed: 121.46.250.228, node id: e6e7dc8b7b6b16f4992b67a931fc47f1e70a201ad08320bc3cfe792cdc524b8d
2022-01-10T21:03:36.038 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '121.46.250.228', 'port': 8444}
2022-01-10T21:03:39.830 full_node full_node_server        : INFO     Connected with full_node {'host': '98.28.225.90', 'port': 8444}
2022-01-10T21:03:39.838 full_node full_node_server        : INFO     Connection closed: 98.28.225.90, node id: b3b40bc6e75eb72b8dc44480cb95b3feffddb5ad5f79723743b3395638e1c636
2022-01-10T21:03:39.840 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '98.28.225.90', 'port': 8444}
2022-01-10T21:03:43.857 full_node chia.full_node.full_node: INFO     AUTOTEST5 Added blocks 1303094 to 1303126
2022-01-10T21:03:44.207 full_node full_node_server        : INFO     Connection closed: 81.183.230.225, node id: 272944ef9d37c2451f1f3f3ebbc7914e42d0bc3d919d83230085439746c21b82
2022-01-10T21:03:44.209 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '81.183.230.225', 'port': 8444}
2022-01-10T21:03:48.468 full_node full_node_server        : INFO     Connected with full_node {'host': '70.231.78.64', 'port': 8444}
2022-01-10T21:03:48.475 full_node full_node_server        : INFO     Connection closed: 70.231.78.64, node id: 93f2f4e21115f05569471e1f6ebdf3fda6d84fcb210ff87e3ee6309b2aab5e82
