2022-01-08T22:45:44.204 daemon chia.daemon.server         : INFO     Starting Daemon Server
2022-01-08T22:45:44.217 daemon chia.daemon.server         : INFO     Waiting Daemon WebSocketServer closure
2022-01-08T22:47:39.389 full_node chia.full_node.full_node: INFO     Initializing blockchain from disk
2022-01-08T22:47:39.395 full_node chia.consensus.blockchain: INFO     Started 4 processes for block validation
2022-01-08T22:50:59.559 full_node full_node_server        : INFO     Connection closed: 91.138.70.182, node id: edea6ce5e5eb1c48044f53931725beb86296034f681380f3ac5c2295ac61212d
2022-01-08T22:50:59.561 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '91.138.70.182', 'port': 8444}
2022-01-08T22:51:03.127 full_node full_node_server        : INFO     Connected with full_node {'host': '84.91.123.53', 'port': 8444}
2022-01-08T22:51:15.151 full_node full_node_server        : INFO     Connected with full_node {'host': '5.140.168.178', 'port': 8444}
2022-01-08T22:51:15.156 full_node full_node_server        : INFO     Connection closed: 5.140.168.178, node id: 1e2be9094aa2407404c5af9bd9f87a46754a8a162c8b71dc6814a0292aca3e93
2022-01-08T22:51:15.158 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '5.140.168.178', 'port': 8444}
2022-01-08T22:51:36.213 full_node full_node_server        : INFO     Connected with full_node {'host': '120.132.126.94', 'port': 8444}
2022-01-08T22:51:36.220 full_node full_node_server        : INFO     Connection closed: 120.132.126.94, node id: 6cac6572cb048e969c1b23dc20d22bbd2ccdab7ba951e794f82233959f02f2ab
2022-01-08T22:51:36.221 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '120.132.126.94', 'port': 8444}
2022-01-08T22:51:36.240 full_node full_node_server        : INFO     Connected with full_node {'host': '173.188.130.131', 'port': 8444}
2022-01-08T22:51:36.244 full_node full_node_server        : INFO     Connection closed: 173.188.130.131, node id: 4f3d06759e1ba73aed949b3c00759dca04f14eb19632893c57bd0d1614c84948
2022-01-08T22:51:36.246 full_node chia.full_node.full_node: INFO     peer disconnected {'host': '173.188.130.131', 'port': 8444}
2022-01-08T22:51:42.925 full_node full_node_server        : INFO     Cannot connect to host 5.254.180.88:8444 ssl:<ssl.SSLContext object at 0xffffa1d0e040> [Connect call failed ('5.254.180.88', 8444)]
2022-01-08T22:51:56.917 full_node full_node_server        : INFO     Cannot connect to host 37.192.163.121:8444 ssl:<ssl.SSLContext object at 0xffffa1109440> [Connect call failed ('37.192.163.121', 8444)]
2022-01-08T22:51:59.560 full_node full_node_server        : INFO     Connected with full_node {'host': '98.30.23.51', 'port': 8444}
